YearWeekISO,ReportingCountry,FirstDose,SecondDose,Population
2021-03-08,BG,85426,18359,6951482
2021-03-08,CY,41427,8268,888005
2021-03-08,CZ,465449,89296,10693939
2021-03-08,DE,2823649,784724,83166711
2021-03-08,DK,111522,109903,5822763
2021-03-08,EE,72228,19611,1328976
2021-03-08,EL,465609,130832,10718565
2021-03-08,ES,1329291,785777,47332614
2021-03-08,FI,735486,4954,5525292
2021-03-08,FR,5157556,1197896,67320216
2021-03-08,HR,107814,25534,4058165
2021-03-08,HU,693897,182054,9769526
2021-03-08,IE,180992,34033,4964440
2021-03-08,IS,11336,429,364134
2021-03-08,IT,2820850,1057198,59641488
2021-03-08,LI,1316,42,38747
2021-03-08,LT,131358,40791,2794090
2021-03-08,LU,21709,2802,626108
2021-03-08,LV,30815,346,1907675
2021-03-08,MT,45333,12453,514564
2021-03-08,NL,197476,87735,17407585
2021-03-08,NO,127023,102696,5367580
2021-03-08,PL,1514894,709142,37958138
2021-03-08,PT,294317,157537,10295909
2021-03-08,RO,560128,125701,19328838
2021-03-08,SE,536792,112043,10327589
2021-03-08,SI,61935,41337,2095861
2021-03-08,SK,136729,75168,5457873
2021-03-15,AT,382704,95960,8901064
2021-03-15,BE,496860,139447,11522440
2021-03-15,BG,37131,26928,6951482
2021-03-15,CY,7127,8761,888005
2021-03-15,CZ,422064,137606,10693939
2021-03-15,DE,1993594,921525,83166711
2021-03-15,DK,102495,114617,5822763
2021-03-15,EE,57761,11100,1328976
2021-03-15,EL,307069,164037,10718565
2021-03-15,ES,539304,1007602,47332614
2021-03-15,FI,753304,7262,5525292
2021-03-15,FR,4254684,828128,67320216
2021-03-15,HR,107087,31991,4058165
2021-03-15,HU,508652,163249,9769526
2021-03-15,IE,95852,46830,4964440
2021-03-15,IS,7748,5356,364134
2021-03-15,IT,1896052,1463414,59641488
2021-03-15,LI,172,1098,38747
2021-03-15,LT,64650,77331,2794090
2021-03-15,LU,25701,6219,626108
2021-03-15,LV,9593,1877,1907675
2021-03-15,MT,40504,14218,514564
2021-03-15,NL,86878,127562,17407585
2021-03-15,NO,120472,13324,5367580
2021-03-15,PL,1286482,724112,37958138
2021-03-15,PT,251744,332684,10295909
2021-03-15,RO,609906,130690,19328838
2021-03-15,SE,349998,159294,10327589
2021-03-15,SI,21212,38834,2095861
2021-03-15,SK,214763,49798,5457873
2021-03-22,AT,312154,187104,8901064
2021-03-22,BE,514908,164910,11522440
2021-03-22,BG,103751,34940,6951482
2021-03-22,CY,24601,7913,888005
2021-03-22,CZ,300748,192114,10693939
2021-03-22,DE,3107201,1073187,83166711
2021-03-22,DK,109605,102795,5822763
2021-03-22,EE,54009,9354,1328976
2021-03-22,EL,250247,276092,10718565
2021-03-22,ES,1583070,1012698,47332614
2021-03-22,FI,651082,5906,5525292
2021-03-22,FR,6523436,908220,67320216
2021-03-22,HR,109959,19503,4058165
2021-03-22,HU,670864,409478,9769526
2021-03-22,IE,194032,93577,4964440
