,ReportingCountry,YearWeekISO,first_dose_100k,second_dose_100k,cmltve_first_dose,cmltve_second_dose
36,AT,2021-09-13,1308.270561811487,814.9138125509488,128646.05849368122,115099.04883281369
37,AT,2021-09-20,1246.345380732011,752.0449240675048,129892.40387441323,115851.0937568812
38,AT,2021-09-27,979.680631439118,785.3667831171645,130872.08450585234,116636.46053999836
39,AT,2021-10-04,787.9282746422225,894.6121497385033,131660.01278049455,117531.07268973686
40,AT,2021-10-11,657.9887528052824,854.7742157566784,132318.00153329983,118385.84690549354
41,AT,2021-10-18,817.6775270911431,822.8903870368757,133135.67906039098,119208.73729253042
42,AT,2021-10-25,1189.3184904636119,630.778522657516,134324.99755085458,119839.51581518794
43,AT,2021-11-01,1780.0568561241666,728.9690311180774,136105.05440697874,120568.48484630602
44,AT,2021-11-08,3076.4187292665238,951.9985475893668,139181.47313624527,121520.48339389538
45,AT,2021-11-15,2549.2233288065345,1189.2061443440919,141730.69646505182,122709.68953823947
46,AT,2021-11-22,1974.2134198787915,1413.1119605476372,143704.90988493062,124122.80149878711
47,AT,2021-11-29,1714.0872147419673,2035.5544011367626,145418.9970996726,126158.35589992387
48,AT,2021-12-06,1437.6932914986346,2224.5205741695595,146856.69039117123,128382.87647409343
49,AT,2021-12-13,1541.38875981568,2345.5398141166047,148398.07915098692,130728.41628821004
50,AT,2021-12-20,734.8334985570265,1362.2865760767477,149132.91264954396,132090.70286428678
51,AT,2021-12-27,518.1627724505745,1157.5470078633298,149651.07542199452,133248.2498721501
52,AT,2022-01-03,667.4482960688745,1489.597198716917,150318.5237180634,134737.84707086702
53,AT,2022-01-10,753.9098696515384,1419.8302584949395,151072.43358771494,136157.67732936196
54,AT,2022-01-17,621.8357715437166,848.6850560786891,151694.26935925867,137006.36238544065
55,AT,2022-01-24,427.0276002958748,714.8134200585458,152121.29695955454,137721.1758054992
56,AT,2022-01-31,263.8111578570831,711.1284673382868,152385.10811741164,138432.30427283747
57,AT,2022-02-07,185.23628186472988,542.1599035800666,152570.34439927636,138974.46417641753
58,AT,2022-02-14,116.41304904672072,372.9441783589018,152686.75744832307,139347.40835477645
59,AT,2022-02-21,79.63092951584215,257.9691596420383,152766.3883778389,139605.37751441848
60,AT,2022-02-28,51.49946118801079,126.59160747524119,152817.88783902692,139731.96912189372
61,BE,2021-01-04,704.2952707933389,0.0,704.2952707933389,0.0
62,BE,2021-01-11,2470.6138630359537,0.841835583435453,3174.909133829293,0.841835583435453
63,BE,2021-01-18,2930.420987221457,23.18953277257248,6105.33012105075,24.031368356007935
64,BE,2021-01-25,1555.2695436036117,639.7776859762341,7660.599664654362,663.8090543322421
65,BE,2021-02-01,1042.4007415096107,2373.4643009640317,8703.000406163972,3037.2733552962736
66,BE,2021-02-08,755.5951690787715,2726.7575270515617,9458.595575242744,5764.030882347835
67,BE,2021-02-15,1108.1593829084811,1594.1154824846128,10566.754958151225,7358.146364832448
68,BE,2021-02-22,1981.290421126081,868.9392177351325,12548.045379277306,8227.08558256758
69,BE,2021-03-01,3016.322931601293,763.3365849594356,15564.368310878599,8990.422167527016
70,BE,2021-03-08,2904.410871308508,1053.5789294628566,18468.779182187107,10044.001096989872
71,BE,2021-03-15,4312.10750500762,1210.2210990033357,22780.886687194725,11254.222195993209
72,BE,2021-03-22,4468.740995830744,1431.20727901382,27249.62768302547,12685.42947500703
73,BE,2021-03-29,4920.225230072798,1300.6533338424852,32169.852913098264,13986.082808849515
74,BE,2021-04-05,6769.008994622667,1081.7587247145568,38938.86190772093,15067.841533564071
75,BE,2021-04-12,7003.985267009417,1646.916798872461,45942.84717473035,16714.758332436533
76,BE,2021-04-19,6961.450873252541,511.58435192546017,52904.29804798289,17226.342684361993
77,BE,2021-04-26,6420.402275906839,1524.2518077768254,59324.70032388973,18750.594492138818
78,BE,2021-05-03,8715.176646613043,4178.941265912427,68039.87697050278,22929.535758051246
79,BE,2021-05-10,5601.600008331568,5067.607208195486,73641.47697883435,27997.142966246734
80,BE,2021-05-17,8044.277080201765,5493.49790495763,81685.75405903612,33490.64087120436
81,BE,2021-05-24,4400.3179882038885,7058.7740096715615,86086.07204724,40549.41488087593
82,BE,2021-05-31,8788.798205935545,7242.094556361326,94874.87025317554,47791.509437237255
83,BE,2021-06-07,9481.628891102926,9437.115749789104,104356.49914427847,57228.62518702636
84,BE,2021-06-14,12161.07872985236,5859.123588406623,116517.57787413083,63087.74877543298
85,BE,2021-06-21,10407.700105186053,5227.634077504416,126925.27797931689,68315.3828529374
86,BE,2021-06-28,7084.723374563027,5200.304796553508,134010.00135387992,73515.68764949091
87,BE,2021-07-05,2980.323612012733,12019.771853878174,136990.32496589265,85535.45950336909
88,BE,2021-07-12,2514.4500643960832,10976.38173859009,139504.77503028873,96511.84124195918
89,BE,2021-07-19,1652.8443628259286,11808.28019065406,141157.61939311467,108320.12143261323
90,BE,2021-07-26,1645.4500956394645,10794.64071845894,142803.06948875415,119114.76215107218
91,BE,2021-08-02,1719.3406951999743,7618.421098309037,144522.4101839541,126733.18324938121
92,BE,2021-08-09,1130.724048031493,4883.861404355328,145653.1342319856,131617.04465373655
93,BE,2021-08-16,792.2019988821812,2587.056213788051,146445.33623086778,134204.1008675246
94,BE,2021-08-23,722.5466133909138,2252.9950253592124,147167.88284425868,136457.0958928838
95,BE,2021-08-30,708.218051037801,1388.0914111941565,147876.1008952965,137845.18730407796
96,BE,2021-09-06,559.5169078771507,767.8234818319731,148435.61780317363,138613.01078590992
97,BE,2021-09-13,482.89251234981475,660.7020735191505,148918.51031552345,139273.71285942907
98,BE,2021-09-20,546.6724061917442,670.5958113038557,149465.1827217152,139944.30867073292
99,BE,2021-09-27,506.11675999180716,621.9082069422797,149971.29948170698,140566.2168776752
100,BE,2021-10-04,388.6676780265291,418.40096368477515,150359.96715973353,140984.61784135998
101,BE,2021-10-11,379.7806714550044,452.62114621555855,150739.74783118852,141437.23898757555
102,BE,2021-10-18,371.3189220338748,389.08425645956925,151111.0667532224,141826.32324403513
103,BE,2021-10-25,435.6629325038794,406.40697630015853,151546.72968572628,142232.73022033527
104,BE,2021-11-01,401.81593481936125,289.981982982771,151948.54562054566,142522.71220331805
105,BE,2021-11-08,375.2243448436269,310.9671215471722,152323.76996538928,142833.67932486522
106,BE,2021-11-15,446.13814435137,406.8322334505539,152769.90810974065,143240.51155831577
107,BE,2021-11-22,394.4477037849622,375.32848945188687,153164.35581352562,143615.84004776765
108,BE,2021-11-29,278.17024866260965,342.52293784996937,153442.52606218823,143958.36298561763
109,BE,2021-12-06,221.68915611623925,360.86106762109404,153664.21521830448,144319.22405323872
110,BE,2021-12-13,238.6473698279184,355.2546162097611,153902.8625881324,144674.4786694485
111,BE,2021-12-20,167.57735340778515,267.0180968614287,154070.4399415402,144941.49676630992
112,BE,2021-12-27,97.35785128844238,102.57376041880019,154167.79779282864,145044.07052672873
113,BE,2022-01-03,334.2000479065198,242.7176882674156,154501.99784073516,145286.78821499614
114,BE,2022-01-10,661.7088047323309,215.70084114128605,155163.7066454675,145502.48905613742
115,BE,2022-01-17,736.562741919246,122.73442083447601,155900.26938738674,145625.2234769719
116,BE,2022-01-24,470.5687337057082,227.1307118978272,156370.83812109244,145852.35418886974
117,BE,2022-01-31,267.842575010154,504.19008473899623,156638.6806961026,146356.54427360874
118,BE,2022-02-07,178.3563203627009,638.9792439795739,156817.0370164653,146995.52351758833
119,BE,2022-02-14,136.4120793859634,484.79315145056086,156953.44909585128,147480.31666903888
120,BE,2022-02-21,81.6059792891089,297.11588864858487,157035.05507514038,147777.43255768745
121,BE,2022-02-28,7.73273716330916,13.868590333297464,157042.7878123037,147791.30114802075
122,BG,2020-12-28,0.0,0.0,0.0,0.0
123,BG,2021-01-04,568.0946882981211,0.0,568.0946882981211,0.0
124,BG,2021-01-11,207.63917679712037,4.430709883158728,775.7338650952415,4.430709883158728
125,BG,2021-01-18,133.81319264007303,192.6783382306104,909.5470577353145,197.10904811376912
126,BG,2021-01-25,265.4254157602652,355.8377911357607,1174.9724734955798,552.9468392495298
127,BG,2021-02-01,408.1431844317513,184.0614706331686,1583.115657927331,737.0083098826984
128,BG,2021-02-08,465.84311086470484,130.36069143241687,2048.9587687920357,867.3690013151153
129,BG,2021-02-15,1125.6736333345896,239.5891983896383,3174.6324021266255,1106.9581997047535
130,BG,2021-02-22,2414.060771501674,373.74764115047697,5588.6931736282995,1480.7058408552305
131,BG,2021-03-01,1853.0868669443435,409.27963274593816,7441.780040572643,1889.9854736011687
132,BG,2021-03-08,1228.88903402181,264.101956963997,8670.669074594452,2154.0874305651655
133,BG,2021-03-15,534.1450930895023,387.3706354990202,9204.814167683955,2541.458066064186
134,BG,2021-03-22,1492.5018866480557,502.62663414794145,10697.31605433201,3044.0847002121272
135,BG,2021-03-29,1601.773549870373,380.8108832044735,12299.089604202383,3424.895583416601
136,BG,2021-04-05,1656.4669231683258,390.6505116462936,13955.556527370709,3815.5460950628944
137,BG,2021-04-12,1470.9093686785066,461.8871198975988,15426.465896049216,4277.433214960493
138,BG,2021-04-19,1438.6284823869214,1054.4945667700786,16865.094378436137,5331.927781730572
139,BG,2021-04-26,1429.1053332224697,1535.0683494541167,18294.199711658606,6866.996131184689
140,BG,2021-05-03,1087.581036676784,2212.405930131157,19381.78074833539,9079.402061315846
141,BG,2021-05-10,1621.4671921757113,3567.340029075814,21003.2479405111,12646.74209039166
142,BG,2021-05-17,1668.7808441422997,2509.9108362792276,22672.0287846534,15156.65292667089
143,BG,2021-05-24,1198.8522735152017,1480.9360076024075,23870.8810581686,16637.588934273295
144,BG,2021-05-31,1131.2407915319354,2082.5918847232865,25002.121849700536,18720.18081899658
145,BG,2021-06-07,1106.5266370537965,2156.561723097319,26108.648486754333,20876.7425420939
146,BG,2021-06-14,956.7312409066154,1447.57621468343,27065.379727660948,22324.31875677733
147,BG,2021-06-21,862.8663643234636,1085.4951505304912,27928.246091984412,23409.813907307824
148,BG,2021-06-28,829.3339463441032,1000.9520272080111,28757.580038328517,24410.765934515835
149,BG,2021-07-05,968.6567554947276,806.0439486141225,29726.236793823246,25216.809883129958
150,BG,2021-07-12,979.4602071903518,727.3413065012612,30705.697001013596,25944.15118963122
151,BG,2021-07-19,941.5977772797225,671.8855058532841,31647.29477829332,26616.0366954845
152,BG,2021-07-26,1062.0469131618263,723.2126904737725,32709.341691455145,27339.249385958276
153,BG,2021-08-02,1115.3449005550187,700.3686408164474,33824.68659201016,28039.618026774722
154,BG,2021-08-09,1082.5173682388877,670.835370069289,34907.20396024905,28710.453396844012
155,BG,2021-08-16,1104.1674278952314,736.3609659062627,36011.37138814428,29446.814362750276
156,BG,2021-08-23,1215.553748107238,782.8258779926355,37226.92513625152,30229.640240742912
157,BG,2021-08-30,1139.1815443095443,745.4381669980588,38366.10668056107,30975.07840774097
158,BG,2021-09-06,852.6239440740837,677.8266850147925,39218.73062463515,31652.905092755762
159,BG,2021-09-13,835.7210735782669,758.730296647535,40054.451698213416,32411.635389403298
160,BG,2021-09-20,624.7157081036821,658.2768969264395,40679.167406317094,33069.91228632974
161,BG,2021-09-27,628.671699070788,517.0264412682072,41307.83910538788,33586.938727597946
162,BG,2021-10-04,547.7249311729499,467.79952821571004,41855.56403656083,34054.73825581366
163,BG,2021-10-11,667.800046090891,375.4738917543051,42523.364082651715,34430.21214756797
164,BG,2021-10-18,2368.833005681379,399.31053550883115,44892.197088333094,34829.5226830768
165,BG,2021-10-25,3267.3608303955903,385.5436869433021,48159.557918728686,35215.066370020104
166,BG,2021-11-01,2396.42424449923,389.1688132113411,50555.98216322791,35604.235183231445
