,true,pred,resid
3159,1280.6737122482336,748068.5740294338,746787.9003171856
188,1451.6977306889855,743482.6647834849,742030.9670527959
2426,1000.3066563596086,742452.1994389278,741451.8927825682
2053,1516.1576786950736,742689.6228509124,741173.4651722173
472,596.8434862416303,741524.8298049244,740927.9863186828
2178,1192.3503755129436,740756.8262264697,739564.4758509567
3158,1272.8065098477464,739357.9259306864,738085.1194208387
1652,862.4574006968196,738723.7300480084,737861.2726473116
598,1418.3361247899395,737072.766102443,735654.4299776531
3497,1430.0089557465928,734183.4700757624,732753.4611200158
3620,1413.206206886823,733994.743501547,732581.5372946602
3493,1380.005639686987,730671.2244341233,729291.2187944363
296,931.3122007652466,728832.8878454075,727901.5756446422
2292,1280.9179375038025,728097.5155957508,726816.597658247
2545,1450.9284862463496,726983.6021531915,725532.6736669451
547,1383.8493000567892,726881.7741012418,725497.924801185
298,1018.7755646925356,726445.5639894676,725426.788424775
2424,975.390827141646,724510.5375403299,723535.1467131882
2043,1437.6183907416948,723530.4152367745,722092.7968460328
187,1435.7202120384218,720046.8927092052,718611.1724971668
1450,1218.9547936090985,719452.9758800354,718234.0210864263
1820,820.8579416812368,718302.5382449657,717481.6803032844
3413,1128.404703169348,717660.9364824769,716532.5317793075
2179,1202.6737553875146,716951.7187537798,715749.0449983922
2045,1455.9562967308948,715267.4958418836,713811.5395451527
1187,1212.66279525572,714941.4618810597,713728.7990858039
1650,773.6403997491791,711948.0145281391,711174.37412839
1657,1084.095584575956,711979.6034264708,710895.5078418949
96,979.1189008415168,711378.6558680749,710399.5369672333
1558,1461.596559035919,710931.5147065744,709469.9181475384
2044,1441.5267439336876,707013.5939455344,705572.0672016008
1552,1383.0635274810172,706853.304607445,705470.241079964
299,1047.2155433906032,703578.8163299902,702531.6007865996
594,1383.6529271393829,702883.7464135058,701500.0934863663
3032,1536.5980280697656,701847.0510827113,700310.4530546416
3270,1590.5819066826464,701194.3877978764,699603.8058911937
2037,1401.5294185819114,700697.6767834428,699296.147364861
1554,1413.5206429506936,700661.9154447179,699248.3948017672
1653,913.575540921842,699629.8565431699,698716.281002248
1188,1222.1636438672087,699870.2596740066,698648.0960301394
184,1389.6622590354125,699108.1463220817,697718.4840630463
1826,840.3969027725179,697734.4190864335,696894.022183661
2555,1719.9470559712777,697615.5859806207,695895.6389246495
1446,1193.074009150534,696780.3870809812,695587.3130718307
3491,1354.6222769544393,696641.0317892988,695286.4095123443
3489,1313.5413083215,694429.9385049756,693116.3971966541
952,906.4121549222872,690535.11722364,689628.7050687177
962,1040.5756010642783,690626.6054797461,689586.0298786819
183,1379.7598425333522,689770.6929669981,688390.9331244647
