,true,pred,resid
1211,1390.6732469920223,734467.5585995164,733076.8853525243
194,1499.786503553066,729801.4793076098,728301.6928040568
2793,828.7881403422721,723130.3863630582,722301.598222716
561,1793.7263341412347,718961.0340975635,717167.3077634223
1192,1253.1253820040456,717666.6435030713,716413.5181210672
192,1486.863893411464,715224.7846301144,713737.920736703
1587,2394.259474417622,713923.5711567255,711529.3116823079
1588,2442.63109065304,713302.9629325826,710860.3318419296
109,1083.0390613976026,711455.9903377232,710372.9512763256
3159,1280.6737122482336,706449.7529665892,705169.079254341
1450,1218.9547936090985,701869.6712402264,700650.7164466173
3508,1507.6858627552165,702151.0367980471,700643.350935292
188,1451.6977306889855,700937.2190889459,699485.5213582569
2297,1460.0460257185705,697194.5571300683,695734.5111043497
2299,1563.2996789652448,696124.3044442214,694561.0047652562
1694,2407.5067715670134,696702.7219963358,694295.2152247687
3535,1162.5293852979817,694697.738520474,693535.209135176
557,1734.459117449613,694818.9158428723,693084.4567254228
1572,1753.4772489536513,691716.1635576142,689962.6863086605
1187,1212.66279525572,690995.9511802507,689783.288384995
187,1435.7202120384218,688930.4171866692,687494.6969746308
1206,955.5715642495476,687109.9655123716,686154.393948122
555,1719.7779041006308,687083.5591952485,685363.7812911479
1188,1222.1636438672087,682334.9008086299,681112.7371647627
3158,1272.8065098477464,681801.2091719856,680528.4026621379
2426,1000.3066563596086,678656.7526464959,677656.4459901364
1446,1193.074009150534,678249.0498399573,677055.9758308068
554,1707.5092723083603,673309.6003496937,671602.0910773854
3280,2115.962687462122,672901.9749879704,670786.0123005083
3503,1461.8335853379638,671797.027146203,670335.193560865
3498,1432.537749402279,671712.84704419,670280.3092947878
2053,1516.1576786950736,671646.9250770828,670130.7673983878
2791,806.0394362572424,670128.4717014218,669322.4322651646
96,979.1189008415168,667827.3409574872,666848.2220566457
3628,1536.8257927584625,666656.6931724797,665119.8673797213
184,1389.6622590354125,666300.0015619217,664910.3393028863
2424,975.390827141646,662876.2124283348,661900.821601193
2178,1192.3503755129436,659600.5456297081,658408.1952541951
1820,820.8579416812368,658576.6571442905,657755.7992026092
